loan_id,book_id,member_id,loan_date,due_date,return_date,fine_amount
1,1,1,2023-08-17,2023-08-31,2023-09-02,5
2,2,2,2022-07-10,2022-07-24,2022-07-28,10
3,3,3,2023-02-06,2023-02-20,2023-02-27,17.5
4,4,4,2023-10-14,2023-10-28,2023-11-04,17.5
5,5,5,2024-04-22,2024-05-06,2024-05-06,0
6,6,6,2022-11-14,2022-11-28,2022-11-26,0
7,7,7,2024-08-13,2024-08-27,2024-08-25,0
8,8,8,2022-05-06,2022-05-20,2022-05-26,15
9,9,9,2023-03-04,2023-03-18,2023-03-28,25
10,10,10,2024-09-30,2024-10-14,2024-10-22,20
11,11,11,2022-09-17,2022-10-01,2022-10-06,12.5
12,12,12,2022-07-16,2022-07-30,2022-08-07,20
13,13,13,2022-11-21,2022-12-05,2022-12-10,12.5
14,14,14,2022-06-25,2022-07-09,2022-07-12,7.5
15,15,15,2022-11-16,2022-11-30,2022-12-06,15
16,16,16,2024-10-23,2024-11-06,2024-11-15,22.5
17,17,17,2024-01-06,2024-01-20,2024-01-21,2.5
18,18,18,2022-06-26,2022-07-10,2022-07-08,0
19,19,19,2022-06-13,2022-06-27,2022-07-05,20
20,20,20,2022-11-11,2022-11-25,2022-11-29,10
21,21,21,2023-06-26,2023-07-10,2023-07-10,0
22,22,22,2023-06-23,2023-07-07,2023-07-08,2.5
23,23,23,2024-03-02,2024-03-16,2024-03-17,2.5
24,24,24,2023-08-12,2023-08-26,2023-08-24,0
25,25,25,2024-10-12,2024-10-26,2024-10-24,0
26,26,26,2022-02-27,2022-03-13,2022-03-11,0
27,27,27,2023-06-18,2023-07-02,2023-07-05,7.5
28,28,28,2024-09-12,2024-09-26,2024-10-06,25
29,29,29,2024-10-20,2024-11-03,2024-11-12,22.5
30,30,30,2023-01-23,2023-02-06,2023-02-08,5
31,31,31,2023-07-29,2023-08-12,2023-08-11,0
32,32,32,2024-03-02,2024-03-16,2024-03-14,0
33,33,33,2024-03-28,2024-04-11,2024-04-13,5
34,34,34,2024-05-11,2024-05-25,2024-05-29,10
35,35,35,2022-01-26,2022-02-09,2022-02-10,2.5
36,36,36,2023-07-01,2023-07-15,2023-07-16,2.5
37,37,37,2023-01-17,2023-01-31,2023-02-05,12.5
38,38,38,2022-12-04,2022-12-18,2022-12-19,2.5
39,39,39,2023-04-23,2023-05-07,2023-05-11,10
40,40,40,2022-11-20,2022-12-04,2022-12-14,25
41,41,41,2024-08-23,2024-09-06,2024-09-12,15
42,42,42,2023-04-14,2023-04-28,2023-05-04,15
43,43,43,2022-11-29,2022-12-13,2022-12-18,12.5
44,44,44,2022-03-09,2022-03-23,2022-03-22,0
45,45,45,2023-12-26,2024-01-09,2024-01-16,17.5
46,46,46,2024-01-01,2024-01-15,2024-01-15,0
47,47,47,2024-01-05,2024-01-19,2024-01-29,25
48,48,48,2024-03-31,2024-04-14,2024-04-14,0
49,49,49,2023-01-14,2023-01-28,2023-02-04,17.5
50,50,50,2022-11-03,2022-11-17,2022-11-17,0
51,51,51,2023-02-14,2023-02-28,2023-03-08,20
52,52,52,2023-09-01,2023-09-15,2023-09-20,12.5
53,53,53,2023-11-16,2023-11-30,2023-11-30,0
54,54,54,2022-09-10,2022-09-24,2022-09-22,0
55,55,55,2022-04-20,2022-05-04,2022-05-12,20
56,56,56,2023-07-25,2023-08-08,2023-08-12,10
57,57,57,2023-10-16,2023-10-30,2023-10-29,0
58,58,58,2023-12-04,2023-12-18,2023-12-27,22.5
59,59,59,2022-04-10,2022-04-24,2022-04-30,15
60,60,60,2024-04-12,2024-04-26,2024-05-05,22.5
61,61,61,2022-12-10,2022-12-24,2022-12-23,0
62,62,62,2024-05-19,2024-06-02,2024-06-02,0
63,63,63,2022-04-02,2022-04-16,2022-04-19,7.5
64,64,64,2024-08-20,2024-09-03,2024-09-01,0
65,65,65,2024-10-01,2024-10-15,2024-10-14,0
66,66,66,2024-12-14,2024-12-28,2025-01-04,17.5
67,67,67,2023-07-31,2023-08-14,2023-08-12,0
68,68,68,2022-03-05,2022-03-19,2022-03-17,0
69,69,69,2022-07-04,2022-07-18,2022-07-16,0
70,70,70,2024-02-23,2024-03-08,2024-03-10,5
71,71,71,2023-07-02,2023-07-16,2023-07-18,5
72,72,72,2023-07-29,2023-08-12,2023-08-10,0
73,73,73,2022-08-26,2022-09-09,2022-09-15,15
74,74,74,2024-12-21,2025-01-04,2025-01-13,22.5
75,75,75,2023-12-17,2023-12-31,2024-01-09,22.5
76,76,76,2024-06-27,2024-07-11,2024-07-12,2.5
77,77,77,2024-09-15,2024-09-29,2024-09-29,0
78,78,78,2023-11-02,2023-11-16,2023-11-20,10
79,79,79,2023-08-11,2023-08-25,2023-09-03,22.5
80,80,80,2023-10-09,2023-10-23,2023-10-26,7.5
81,81,81,2023-09-15,2023-09-29,2023-10-02,7.5
82,82,82,2024-10-24,2024-11-07,2024-11-16,22.5
83,83,83,2023-04-16,2023-04-30,2023-05-07,17.5
84,84,84,2022-06-09,2022-06-23,2022-06-27,10
85,85,85,2022-12-05,2022-12-19,2022-12-28,22.5
86,86,86,2024-02-21,2024-03-06,2024-03-11,12.5
87,87,87,2024-10-22,2024-11-05,2024-11-03,0
88,88,88,2024-10-31,2024-11-14,2024-11-22,20
89,89,89,2022-10-07,2022-10-21,2022-10-27,15
90,90,90,2022-09-10,2022-09-24,2022-09-26,5
91,91,91,2022-10-30,2022-11-13,2022-11-15,5
92,92,92,2024-01-15,2024-01-29,2024-01-27,0
93,93,93,2022-12-18,2023-01-01,2023-01-07,15
94,94,94,2024-06-28,2024-07-12,2024-07-14,5
95,95,95,2023-08-07,2023-08-21,2023-08-31,25
96,96,96,2023-10-18,2023-11-01,2023-11-08,17.5
97,97,97,2024-09-23,2024-10-07,2024-10-12,12.5
98,98,98,2022-06-28,2022-07-12,2022-07-12,0
99,99,99,2024-05-01,2024-05-15,2024-05-13,0
100,100,100,2024-02-29,2024-03-14,2024-03-12,0
